playlist_name,track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
4TC,Binary Sunset,DEMATERIALIZE,Omniscience,7JSp5SZUpcQLWV1zpkfFNl,10,0.488,0.987,9,-4.885,1,0.131,0.000135,0.00288,0.404,0.378,155.98,audio_features,7JSp5SZUpcQLWV1zpkfFNl,spotify:track:7JSp5SZUpcQLWV1zpkfFNl,https://api.spotify.com/v1/tracks/7JSp5SZUpcQLWV1zpkfFNl,https://api.spotify.com/v1/audio-analysis/7JSp5SZUpcQLWV1zpkfFNl,154000,4,1
4TC,The Abyss Below,DEMATERIALIZE,The Abyss Below,3hUSAZsRUgnhOmK96qt3dy,15,0.336,0.987,9,-4.539,0,0.361,0.0044,0.0,0.0987,0.0985,179.999,audio_features,3hUSAZsRUgnhOmK96qt3dy,spotify:track:3hUSAZsRUgnhOmK96qt3dy,https://api.spotify.com/v1/tracks/3hUSAZsRUgnhOmK96qt3dy,https://api.spotify.com/v1/audio-analysis/3hUSAZsRUgnhOmK96qt3dy,181612,4,1
4TC,Butt Slutt,Kim Petras,Slut Pop Miami,6JGD3WQC5t8qTCiySPESKl,44,0.837,0.703,9,-3.694,0,0.0703,0.00813,0.243,0.134,0.877,127.038,audio_features,6JGD3WQC5t8qTCiySPESKl,spotify:track:6JGD3WQC5t8qTCiySPESKl,https://api.spotify.com/v1/tracks/6JGD3WQC5t8qTCiySPESKl,https://api.spotify.com/v1/audio-analysis/6JGD3WQC5t8qTCiySPESKl,92125,4,0
4TC,"Me, Myself & I",Oliver Tree,Ugly is Beautiful,49PbapHSAfpv3Z4UEVHyRw,34,0.446,0.861,8,-6.765,1,0.0492,0.0176,0.00433,0.149,0.646,157.84,audio_features,49PbapHSAfpv3Z4UEVHyRw,spotify:track:49PbapHSAfpv3Z4UEVHyRw,https://api.spotify.com/v1/tracks/49PbapHSAfpv3Z4UEVHyRw,https://api.spotify.com/v1/audio-analysis/49PbapHSAfpv3Z4UEVHyRw,173175,4,1
4TC,Cash Machine,Oliver Tree,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",3aYphK1HrpzYbuBLz8PH6l,36,0.417,0.624,9,-6.61,1,0.037,0.0159,0.000125,0.175,0.497,200.136,audio_features,3aYphK1HrpzYbuBLz8PH6l,spotify:track:3aYphK1HrpzYbuBLz8PH6l,https://api.spotify.com/v1/tracks/3aYphK1HrpzYbuBLz8PH6l,https://api.spotify.com/v1/audio-analysis/3aYphK1HrpzYbuBLz8PH6l,176950,4,1
4TC,DEVASTATED,Joey Bada$$,ALL-AMERIKKKAN BADA$$,4PnNzWe1LJoAMD5j5RHpI0,62,0.812,0.628,10,-6.164,0,0.0682,0.0634,0.0,0.254,0.485,123.004,audio_features,4PnNzWe1LJoAMD5j5RHpI0,spotify:track:4PnNzWe1LJoAMD5j5RHpI0,https://api.spotify.com/v1/tracks/4PnNzWe1LJoAMD5j5RHpI0,https://api.spotify.com/v1/audio-analysis/4PnNzWe1LJoAMD5j5RHpI0,207059,4,0
4TC,TEMPTATION,Joey Bada$$,ALL-AMERIKKKAN BADA$$,3gJDgenxLephg09x86IxPs,65,0.775,0.707,10,-5.339,0,0.152,0.397,0.0,0.874,0.78,104.979,audio_features,3gJDgenxLephg09x86IxPs,spotify:track:3gJDgenxLephg09x86IxPs,https://api.spotify.com/v1/tracks/3gJDgenxLephg09x86IxPs,https://api.spotify.com/v1/audio-analysis/3gJDgenxLephg09x86IxPs,244198,4,2
4TC,For the Damaged Coda,Blonde Redhead,Melody of Certain Damaged Lemons,6lvJDlBrtabJWiBlMTGxKs,54,0.5,0.47,0,-9.995,0,0.0395,0.798,0.88,0.0899,0.0766,141.454,audio_features,6lvJDlBrtabJWiBlMTGxKs,spotify:track:6lvJDlBrtabJWiBlMTGxKs,https://api.spotify.com/v1/tracks/6lvJDlBrtabJWiBlMTGxKs,https://api.spotify.com/v1/audio-analysis/6lvJDlBrtabJWiBlMTGxKs,157000,4,3
4TC,Caterpillar (feat. Eminem & King Green),"Royce Da 5'9""",Book of Ryan (Bonus Track Edition),6krtZNyv0XGF6A8Rwc39yC,51,0.723,0.739,10,-5.975,0,0.434,0.135,0.0,0.268,0.603,91.133,audio_features,6krtZNyv0XGF6A8Rwc39yC,spotify:track:6krtZNyv0XGF6A8Rwc39yC,https://api.spotify.com/v1/tracks/6krtZNyv0XGF6A8Rwc39yC,https://api.spotify.com/v1/audio-analysis/6krtZNyv0XGF6A8Rwc39yC,283077,4,0
4TC,This Head I Hold,Electric Guest,Mondo,08SPVU7g5MSS1lOpRdZ9FX,40,0.562,0.878,0,-4.903,1,0.0398,0.0292,0.0174,0.238,0.962,80.936,audio_features,08SPVU7g5MSS1lOpRdZ9FX,spotify:track:08SPVU7g5MSS1lOpRdZ9FX,https://api.spotify.com/v1/tracks/08SPVU7g5MSS1lOpRdZ9FX,https://api.spotify.com/v1/audio-analysis/08SPVU7g5MSS1lOpRdZ9FX,175773,4,1
4TC,DROP!!,Joey Valence & Brae,PUNK TACTICS,5f2vq0ScSvtILHaMb5GnVB,46,0.795,0.732,1,-2.305,1,0.151,0.00173,0.0,0.362,0.446,129.934,audio_features,5f2vq0ScSvtILHaMb5GnVB,spotify:track:5f2vq0ScSvtILHaMb5GnVB,https://api.spotify.com/v1/tracks/5f2vq0ScSvtILHaMb5GnVB,https://api.spotify.com/v1/audio-analysis/5f2vq0ScSvtILHaMb5GnVB,125740,4,2
4TC,Your Fuckin’ Head Split,Necro,I Need Drugs,1WkJbf3RsZCtPUvxM8AdN9,49,0.927,0.728,9,-7.391,0,0.215,0.17,0.0,0.108,0.598,97.91,audio_features,1WkJbf3RsZCtPUvxM8AdN9,spotify:track:1WkJbf3RsZCtPUvxM8AdN9,https://api.spotify.com/v1/tracks/1WkJbf3RsZCtPUvxM8AdN9,https://api.spotify.com/v1/audio-analysis/1WkJbf3RsZCtPUvxM8AdN9,182907,4,0
4TC,Beautiful Music for You to Die to,Necro,The Pre-Fix For Death,41v6sWfkIDWasH7phu8M3v,28,0.758,0.811,7,-4.78,1,0.223,0.154,7.62e-05,0.185,0.477,101.981,audio_features,41v6sWfkIDWasH7phu8M3v,spotify:track:41v6sWfkIDWasH7phu8M3v,https://api.spotify.com/v1/tracks/41v6sWfkIDWasH7phu8M3v,https://api.spotify.com/v1/audio-analysis/41v6sWfkIDWasH7phu8M3v,202493,4,0
4TC,Looking Down the Barrel of Today,Hatebreed,The Concrete Confessional,5IVA7WzOlWrmZh8EqZqMaw,61,0.486,0.986,1,-4.71,1,0.0818,0.000662,0.048,0.29,0.501,180.085,audio_features,5IVA7WzOlWrmZh8EqZqMaw,spotify:track:5IVA7WzOlWrmZh8EqZqMaw,https://api.spotify.com/v1/tracks/5IVA7WzOlWrmZh8EqZqMaw,https://api.spotify.com/v1/audio-analysis/5IVA7WzOlWrmZh8EqZqMaw,161627,4,1
4TC,I Will Be Heard,Hatebreed,Perseverance,4Lxn1JlGJwmmXpODrNvPA6,53,0.585,0.907,1,-4.787,1,0.102,7.21e-05,0.0,0.0682,0.573,92.634,audio_features,4Lxn1JlGJwmmXpODrNvPA6,spotify:track:4Lxn1JlGJwmmXpODrNvPA6,https://api.spotify.com/v1/tracks/4Lxn1JlGJwmmXpODrNvPA6,https://api.spotify.com/v1/audio-analysis/4Lxn1JlGJwmmXpODrNvPA6,178667,4,1
4TC,Black Helicopters,Necro,The Non Phixion Instrumentals,5gUpP2eQcJ1PX73veIIeMa,17,0.53,0.51,2,-9.065,1,0.0315,0.055,0.848,0.0752,0.626,88.224,audio_features,5gUpP2eQcJ1PX73veIIeMa,spotify:track:5gUpP2eQcJ1PX73veIIeMa,https://api.spotify.com/v1/tracks/5gUpP2eQcJ1PX73veIIeMa,https://api.spotify.com/v1/audio-analysis/5gUpP2eQcJ1PX73veIIeMa,250160,4,3
4TC,Destroy Everything,Hatebreed,Supremacy,501CSzS4gwNOJnlWHuBt9r,53,0.666,0.942,7,-3.356,1,0.0591,0.00253,0.0,0.114,0.581,110.019,audio_features,501CSzS4gwNOJnlWHuBt9r,spotify:track:501CSzS4gwNOJnlWHuBt9r,https://api.spotify.com/v1/tracks/501CSzS4gwNOJnlWHuBt9r,https://api.spotify.com/v1/audio-analysis/501CSzS4gwNOJnlWHuBt9r,209067,4,1
4TC,Shine,Bishop Gunn,Natchez,7Amzk2hCLU2gTJvqYsWmk7,53,0.549,0.797,10,-5.688,1,0.125,0.1,6.44e-05,0.192,0.56,90.746,audio_features,7Amzk2hCLU2gTJvqYsWmk7,spotify:track:7Amzk2hCLU2gTJvqYsWmk7,https://api.spotify.com/v1/tracks/7Amzk2hCLU2gTJvqYsWmk7,https://api.spotify.com/v1/audio-analysis/7Amzk2hCLU2gTJvqYsWmk7,234528,4,1
4TC,Without u - rock version demo,Holywatr,Psalms,6b30Si6X4QkRsjwCUDsCTs,47,0.506,0.663,7,-6.147,1,0.042,0.00109,2.26e-05,0.157,0.102,151.78,audio_features,6b30Si6X4QkRsjwCUDsCTs,spotify:track:6b30Si6X4QkRsjwCUDsCTs,https://api.spotify.com/v1/tracks/6b30Si6X4QkRsjwCUDsCTs,https://api.spotify.com/v1/audio-analysis/6b30Si6X4QkRsjwCUDsCTs,157500,4,1
