track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
I Hate You,Oliver Tree,0.737,0.67,9,-6.448,1,0.0985,0.00474,0.0,0.0922,0.525,75.981,audio_features,4i6xqPtcyz470NNO2LzFZ4,spotify:track:4i6xqPtcyz470NNO2LzFZ4,https://api.spotify.com/v1/tracks/4i6xqPtcyz470NNO2LzFZ4,https://api.spotify.com/v1/audio-analysis/4i6xqPtcyz470NNO2LzFZ4,162878,4
Kiss With A Fist,Florence + The Machine,0.367,0.801,2,-5.396,1,0.137,0.0024,0.000273,0.0603,0.624,107.014,audio_features,0jv5OcbvTUHgO8FgHhya8b,spotify:track:0jv5OcbvTUHgO8FgHhya8b,https://api.spotify.com/v1/tracks/0jv5OcbvTUHgO8FgHhya8b,https://api.spotify.com/v1/audio-analysis/0jv5OcbvTUHgO8FgHhya8b,123333,4
The Spark,Kabin Crew,0.841,0.864,6,-4.437,0,0.237,0.0531,5.75e-06,0.204,0.647,173.931,audio_features,0bhnFakmRioZbuQcmhVwoH,spotify:track:0bhnFakmRioZbuQcmhVwoH,https://api.spotify.com/v1/tracks/0bhnFakmRioZbuQcmhVwoH,https://api.spotify.com/v1/audio-analysis/0bhnFakmRioZbuQcmhVwoH,146385,4
real things (steve mix),mike.,0.711,0.452,8,-9.243,0,0.129,0.326,0.0,0.118,0.549,124.013,audio_features,0kZMNEEOuRgEXtrQAvY2AR,spotify:track:0kZMNEEOuRgEXtrQAvY2AR,https://api.spotify.com/v1/tracks/0kZMNEEOuRgEXtrQAvY2AR,https://api.spotify.com/v1/audio-analysis/0kZMNEEOuRgEXtrQAvY2AR,162616,4
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,0.572,0.81,1,-5.791,0,0.0558,0.0157,6.53e-06,0.13,0.11,126.052,audio_features,6PUIzlqotEmPuBfjbwYWOB,spotify:track:6PUIzlqotEmPuBfjbwYWOB,https://api.spotify.com/v1/tracks/6PUIzlqotEmPuBfjbwYWOB,https://api.spotify.com/v1/audio-analysis/6PUIzlqotEmPuBfjbwYWOB,214912,4
Damn It Feels Good to Be a Gangsta,Geto Boys,0.785,0.793,1,-7.915,1,0.163,0.22,0.718,0.124,0.655,88.902,audio_features,0HOqINudNgQFpg1le5Hnqe,spotify:track:0HOqINudNgQFpg1le5Hnqe,https://api.spotify.com/v1/tracks/0HOqINudNgQFpg1le5Hnqe,https://api.spotify.com/v1/audio-analysis/0HOqINudNgQFpg1le5Hnqe,310600,4
Femininomenon,Chappell Roan,0.609,0.758,0,-4.885,0,0.0525,0.139,5.38e-06,0.11,0.236,124.949,audio_features,53IRnAWx13PYmoVYtemUBS,spotify:track:53IRnAWx13PYmoVYtemUBS,https://api.spotify.com/v1/tracks/53IRnAWx13PYmoVYtemUBS,https://api.spotify.com/v1/audio-analysis/53IRnAWx13PYmoVYtemUBS,219711,4
"big, if true",maxime.,0.59,0.349,0,-12.524,1,0.0264,0.0464,0.807,0.134,0.252,93.992,audio_features,1n2B1H5OZ81WGWyle7n8WF,spotify:track:1n2B1H5OZ81WGWyle7n8WF,https://api.spotify.com/v1/tracks/1n2B1H5OZ81WGWyle7n8WF,https://api.spotify.com/v1/audio-analysis/1n2B1H5OZ81WGWyle7n8WF,150638,4
Linger,The Cranberries,0.439,0.434,7,-14.918,1,0.0265,0.0783,5.18e-05,0.14,0.204,94.843,audio_features,0gEyKnHvgkrkBM6fbeHdwK,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/tracks/0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/audio-analysis/0gEyKnHvgkrkBM6fbeHdwK,274707,4
Ascension (feat. Vince Staples),Gorillaz,0.676,0.905,1,-2.569,1,0.147,0.594,0.0,0.154,0.519,152.186,audio_features,2bBMODHVTXGwE2aZYfbgCt,spotify:track:2bBMODHVTXGwE2aZYfbgCt,https://api.spotify.com/v1/tracks/2bBMODHVTXGwE2aZYfbgCt,https://api.spotify.com/v1/audio-analysis/2bBMODHVTXGwE2aZYfbgCt,155973,4
Red Wine Supernova,Chappell Roan,0.657,0.82,9,-4.448,1,0.0441,0.0176,0.0,0.0847,0.709,124.041,audio_features,7FOgcfdz9Nx5V9lCNXdBYv,spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,https://api.spotify.com/v1/tracks/7FOgcfdz9Nx5V9lCNXdBYv,https://api.spotify.com/v1/audio-analysis/7FOgcfdz9Nx5V9lCNXdBYv,192721,4
Imma Be,Black Eyed Peas,0.597,0.517,0,-6.963,1,0.366,0.179,0.0,0.307,0.413,92.035,audio_features,0oJMv049q8hEkes9w0L1J4,spotify:track:0oJMv049q8hEkes9w0L1J4,https://api.spotify.com/v1/tracks/0oJMv049q8hEkes9w0L1J4,https://api.spotify.com/v1/audio-analysis/0oJMv049q8hEkes9w0L1J4,257560,4
Sweater Weather,The Neighbourhood,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,audio_features,2QjOHCTQ1Jl3zawyYOpxh6,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/tracks/2QjOHCTQ1Jl3zawyYOpxh6,https://api.spotify.com/v1/audio-analysis/2QjOHCTQ1Jl3zawyYOpxh6,240400,4
Skechers,DripReport,0.903,0.327,1,-9.727,1,0.0877,0.26,0.011,0.108,0.274,100.008,audio_features,2alc8VZAzDgdAsL2QMk3hu,spotify:track:2alc8VZAzDgdAsL2QMk3hu,https://api.spotify.com/v1/tracks/2alc8VZAzDgdAsL2QMk3hu,https://api.spotify.com/v1/audio-analysis/2alc8VZAzDgdAsL2QMk3hu,106000,4
WASTE,KXLLSWXTCH,0.627,0.123,7,-14.411,1,0.0316,0.859,0.00105,0.149,0.11,131.883,audio_features,4NgherJDfCXWBZBYheM4jK,spotify:track:4NgherJDfCXWBZBYheM4jK,https://api.spotify.com/v1/tracks/4NgherJDfCXWBZBYheM4jK,https://api.spotify.com/v1/audio-analysis/4NgherJDfCXWBZBYheM4jK,120429,4
Kill Your Heroes,AWOLNATION,0.577,0.951,0,-6.351,1,0.0677,0.00768,0.000102,0.755,0.314,96.076,audio_features,7LJF6AtijSniUJpmZTqKRj,spotify:track:7LJF6AtijSniUJpmZTqKRj,https://api.spotify.com/v1/tracks/7LJF6AtijSniUJpmZTqKRj,https://api.spotify.com/v1/audio-analysis/7LJF6AtijSniUJpmZTqKRj,178840,4
505,Arctic Monkeys,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,audio_features,58ge6dfP91o9oXMzq3XkIS,spotify:track:58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587,4
